grandetracer.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,190,241
grandetracer.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,122,214
grandetracer.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,211,213
graph4.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,298021,691999
graph4.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,13472,451484
graph4.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,309237,696413
graph4.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,17260,458132
graph4.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,98605,255158
graph4.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,292524,2793915
graph4.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,99298,300796
graph4.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,152674,2834162
graph8.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,16404,79961
graph8.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,78923,684109
graph8.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,16104,85602
graph8.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,111390,733383
graph8.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,13058,20853
graph8.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,771123,1201534
graph8.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,13390,29355
graph8.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,844995,1194736
hash.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,13979,43095
hash.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,13495,22872
hash.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,14295,44302
hash.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,13572,26296
hash.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,12076,29622
hash.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,112656,505719
hash.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,12526,31475
hash.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,112756,354530
health.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,8243,20500
health.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,10722,11714
health.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,8340,23766
health.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,12150,14113
health.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,7375,13516
health.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,63264,300028
health.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,7540,14258
health.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,61759,217756
ipy.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,885,13703
ipy.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,12010,12010
ipy.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,893,13524
